t	pose_x	pose_y	pose_theta	linear_displacement	linear_velocity	profile_displacement	profile_velocity	velocity_command_dx	velocity_command_dy	velocity_command_dtheta	steering_command_dx	steering_command_dy	steering_command_dtheta	cross_track_error	along_track_error	lookahead_point_x	lookahead_point_y	lookahead_point_velocity
250.786981	217.3454617293	93.2430887814	2.8473301311	12.5748075087	0	11.9257915083	0	-4.4506631371	0	0.0685953953	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.792726	217.3454617293	93.2430887814	2.8473301311	12.5748075087	0	11.9257915083	0	-4.4687650968	0	0.0688743899	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.797128	217.3454617293	93.2430887814	2.8473301311	12.5748075087	0	11.9257915083	0	-4.4869527655	0	0.0691547055	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.79958	217.3454617293	93.2430887814	2.8473301311	12.5748075087	0	11.9257915083	0	-4.5051881759	0	0.069435757	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.80563	217.3454617293	93.2430887814	2.8473301311	12.5748075087	0	11.9257915083	0	-4.5235413826	0	0.0697186239	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.811013	217.3454617293	93.2430887814	2.847504668	12.5748075087	0	11.9257915083	0	-4.5419993989	0	0.0700031062	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.817518	217.3454617293	93.2430887814	2.847504668	12.5748075087	0	11.9257915083	0	-4.5605840707	0	0.0702895406	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.832521	217.3454617293	93.2430887814	2.847504668	0	0	0	0	-6	0	0.2302913673	-14.5809680706	0	0.559645179	1.8748752966	0	231.7354257744	93.0377963179	-57.7058928635
250.845115	217.3454617293	93.2430887814	2.8473301311	0	0	-0.0095165302	-1.51128	-7.5890918463	0	0.2914606373	-14.5812067713	0	0.5599942528	1.8748752966	-0.0095165302	231.7354257744	93.0377963179	-57.7058928635
250.854703	217.3454617293	93.2430887814	2.8473301311	0	0	-0.0295224674	-2.66184	-8.8627012246	0	0.3403738681	-14.5812067713	0	0.5599942528	1.8748752966	-0.0295224674	231.7354257744	93.0377963179	-57.7058928635
250.860438	217.3454617293	93.2430887814	2.8473301311	0	0	-0.0467615333	-3.35004	-9.6508685994	0	0.3706435986	-14.5812067713	0	0.5599942528	1.8748752966	-0.0467615333	231.7354257744	93.0377963179	-57.7058928635
250.869981	217.3454617293	93.2430887814	2.8473301311	0	0	-0.084195096	-4.4952	-11.0061237169	0	0.4226924509	-14.5812067713	0	0.5599942528	1.8748752966	-0.084195096	231.7354257744	93.0377963179	-57.7058928635
250.895705	217.488596079	93.1997103669	2.8473301311	-0.1495631268	-4.6019423637	-0.2395330714	-7.58208	-14.0916461439	0	0.5523500726	-14.4362513496	0	0.5658575585	1.8715172277	-0.0899699445	231.7321014558	93.0382712206	-57.698909302
